date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:11	65904/65904	---MCZ	200	added ('OK')	text/html	etag:W/%2263620921-10170%22	https://htmldemo.net/pustok/pustok/product-details-group.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/product-details-group.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:11	61645/61645	---MCZ	200	added ('OK')	text/html	etag:W/%2263620927-f0cd%22	https://htmldemo.net/pustok/pustok/product-details-variable.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/product-details-variable.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:11	64997/64997	---MCZ	200	added ('OK')	text/html	etag:W/%2263620923-fde5%22	https://htmldemo.net/pustok/pustok/product-details-left-thumbnail.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/product-details-left-thumbnail.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:12	64988/64988	---MCZ	200	added ('OK')	text/html	etag:W/%2263620925-fddc%22	https://htmldemo.net/pustok/pustok/product-details-right-thumbnail.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/product-details-right-thumbnail.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:12	64444/64444	---MCZ	200	added ('OK')	text/html	etag:W/%2263620922-fbbc%22	https://htmldemo.net/pustok/pustok/product-details-left-gallery.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/product-details-left-gallery.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:12	62641/62641	---MCZ	200	added ('OK')	text/html	etag:W/%2263620925-f4b1%22	https://htmldemo.net/pustok/pustok/product-details-right-gallery.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/product-details-right-gallery.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:13	70157/70157	---MCZ	200	added ('OK')	text/html	etag:W/%2263620911-1120d%22	https://htmldemo.net/pustok/pustok/compare.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/compare.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:13	41566/41566	---MCZ	200	added ('OK')	text/html	etag:W/%2263620930-a25e%22	https://htmldemo.net/pustok/pustok/wishlist.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/wishlist.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:13	45525/45525	---MCZ	200	added ('OK')	text/html	etag:W/%226362091e-b1d5%22	https://htmldemo.net/pustok/pustok/my-account.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/my-account.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:13	39709/39709	---MCZ	200	added ('OK')	text/html	etag:W/%226362091f-9b1d%22	https://htmldemo.net/pustok/pustok/order-complete.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/order-complete.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:14	43864/43864	---MCZ	200	added ('OK')	text/html	etag:W/%2263620913-ab58%22	https://htmldemo.net/pustok/pustok/faq.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/faq.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:14	68257/68257	---MCZ	200	added ('OK')	text/html	etag:W/%2263620911-10aa1%22	https://htmldemo.net/pustok/pustok/contact-2.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/contact-2.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:14	55854/55854	---MCZ	200	added ('OK')	text/html	etag:W/%226362090d-da2e%22	https://htmldemo.net/pustok/pustok/blog.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/blog.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:14	79831/79831	---MCZ	200	added ('OK')	text/html	etag:W/%2263620908-137d7%22	https://htmldemo.net/pustok/pustok/blog-left-sidebar.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/blog-left-sidebar.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
17:57:15	79820/79820	---MCZ	200	added ('OK')	text/html	etag:W/%226362090d-137cc%22	https://htmldemo.net/pustok/pustok/blog-right-sidebar.html	D:/Documents/Bookstores/ver%206/htmldemo.net/pustok/pustok/blog-right-sidebar.html	(from https://htmldemo.net/pustok/pustok/index-2.html)
